Title,Author,Genre,Pages,Year,Downloads,Rating
Heart of Darkness,"
Joseph Conrad
",Adventure,87,1899,"48,477",4.4285714285714
Adventures of Huckleberry Finn,"
Mark Twain
",Adventure,305,1884,"179,629",4.9090909090909
Robinson Crusoe,"
Daniel Defoe
",Adventure,143,1719,"54,835",4
The Man in the Iron Mask,"
Alexandre Dumas
",Adventure,487,1850,"16,909",3
Induction,"
T.K. Eldridge
",Adventure,190,2019,"3,112",4.5
The Last of the Mohicans,"
James Fenimore Cooper
",Adventure,353,1826,"13,384",2
Army Life in a Black Regiment,"
Thomas Wentworth Higginson
",African-American Studies,213,1869,"7,383",0
Mostly Dark,"
Miranda Kate
",African-American Studies,84,2018,"2,537",0
The Conservation of Races,"
W. E. B. Du Bois
",African-American Studies,0,1892,"2,311",0
Behind the Scenes,"
Elizabeth Keckley
",African-American Studies,161,1868,"3,722",4
"The Condition, Elevation, Emigration, and Destiny of the Colored People of the United States","
Martin Robison Delany
",African-American Studies,,1852,"2,087",0
Black Rebellion ,"
Thomas Wentworth Higginson
",African-American Studies,120,1889,"5,662",5
"The Alternative: A Separate Nationality, or The Africanization of the South","
William Henry Holcombe
",African-American Studies,20,,"4,805",0
The Complete Poems of Paul Laurence Dunbar,"
Paul Laurence Dunbar
",African-American Studies,450,1895,"3,505",0
Education of the Negro,"
Charles Dudley Warner
",African-American Studies,23,,"2,514",0
The Book of American Negro Poetry,,African-American Studies,167,1922,"9,906",5
The American Prejudice Against Color,"
active 1849-1853 Allen William G.
",African-American Studies,80,1853,"9,136",0
The Souls of Black Folk,"
W. E. B. Du Bois
",African-American Studies,165,1903,"11,888",0
Good Things to Eat as Suggested by Rufus,"
Rufus Estes
",African-American Studies,165,1911,"3,224",0
Hurst,"
Robin Crumby
",African-American Studies,396,2016,"3,085",0
The Black Phalanx,"
Joseph T. Wilson
",African-American Studies,0,1890,"2,376",0
Ice Crown,"
Kay L. Moody
",African-American Studies,142,2019,"3,001",0
The Colored Girl Beautiful,"
E. Azalia Hackley
",African-American Studies,78,1916,"7,244",0
Booker T. Washington,"
Lyman Beecher Stowe
Emmett J. Scott
",African-American Studies,228,1916,"5,361",0
Aunt Phillis's Cabin,"
Mary H. Eastman
",African-American Studies,285,1852,"4,999",0
The Underground Railroad,"
William Still
",African-American Studies,1185,1872,"4,530",0
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","
Olaudah Equiano
",African-American Studies,193,1789,"4,427",4
A Black Adonis,"
Linn Boyd Porter
",African-American Studies,243,1895,"4,332",3
The Negro Problem,,African-American Studies,95,1903,"3,042",0
The Colored Inventor,"
Henry E. Baker
",African-American Studies,22,1913,"2,893",0
Margaret of Anjou,"
Jacob Abbott
",African-American Studies,180,1861,"2,258",0
Running a Thousand Miles for Freedom,"
William Craft
Ellen Craft
",African-American Studies,74,1860,"2,234",0
Up From Slavery: An Autobiography,"
Booker T. Washington
",African-American Studies,171,1901,"6,672",5
My Bondage and My Freedom,"
Frederick Douglass
",African-American Studies,299,1855,"3,496",0
Rev's Odyssey,"
R. R. Kaufman
",African-American Studies,349,2021,859,0
Becoming Bader,"
T.K. Eldridge
",African-American Studies,65,2022,"2,919",0
Fireplay,"
Steve P. Vincent
",African-American Studies,51,2017,"1,525",0
Nights With Uncle Remus,"
Joel Chandler Harris
",African-American Studies,339,1851,"2,292",5
AL Clark,"
Jonathan G. Meyer
",African-American Studies,284,2014,"4,007",4.5
Hagar's Daughter,"
Pauline Elizabeth Hopkins
",African-American Studies,250,1902,"2,892",0
"The Journal of Negro History, Volume 1, 1916",,African-American Studies,554,1916,"2,204",0
"Clotel, or The President's Daughter","
William Wells Brown
",African-American Studies,,1853,"3,330",0
Unforgettable,"
Linda Barrett
",African-American Studies,204,2021,"2,169",0
Masterpieces of Negro Eloquence,,African-American Studies,,1914,"2,163",0
The Conjure Woman,"
Charles W. Chesnutt
",African-American Studies,153,1899,"7,195",3
The Emperor Jones,"
Eugene O'Neill
",African-American Studies,36,1921,"4,472",4
The Colored Cadet at West Point,"
Henry Flipper
",African-American Studies,,,"2,704",0
The Reluctant Coroner,"
Paul Austin Ardoin
",African-American Studies,346,2018,"3,712",0
Our Nig,"
Harriet E. Wilson
",African-American Studies,0,1859,"2,779",3
Abolition Fanaticism in New York,"
Frederick Douglass
",African-American Studies,20,1847,"5,699",0
"Collected Articles of Frederick Douglass, a Slave","
Frederick Douglass
",African-American Studies,24,1881,"4,222",0
Chicken Culprit,"
Vikki Walton
",African-American Studies,434,2018,"1,838",0
"An Account of Some of the Principal Slave Insurrections, and Others, Which Have Occurred, or Been Attempted, in the United States and Elsewhere, During the Last Two Centuries.","
Joshua Coffin
",African-American Studies,48,1860,"5,942",0
When We Let Go,"
Delancey Stewart
",African-American Studies,280,2018,"4,423",0
The Future of the American Negro,"
Booker T. Washington
",African-American Studies,92,1899,"3,796",0
Chosen,"
Christine Pope
",African-American Studies,382,2015,"2,492",0
An Appeal in Favor of that Class of Americans Called Africans,"
Lydia Maria Child
",African-American Studies,216,1836,"3,153",0
"Autographs for Freedom, Volume 2",,African-American Studies,215,1854,"2,361",0
The Life and Adventures of Nat Love,"
Nat Love
",African-American Studies,123,1907,"2,132",0
A Century of Negro Migration,"
Carter G. Woodson
",African-American Studies,180,1918,"3,392",0
The House Behind the Cedars,"
Charles W. Chesnutt
",African-American Studies,183,1900,"2,103",5
The Defects of the Negro Church,"
Orishatukeh Faduma
",African-American Studies,20,1904,"2,135",0
Narrative of the Life of Frederick Douglass,"
Frederick Douglass
",African-American Studies,97,1845,"5,835",5
The History of Mary Prince,"
Mary Prince
",African-American Studies,69,1831,"2,775",2.3333333333333
The Autobiography of an Ex-Colored Man,"
James Weldon Johnson
",African-American Studies,122,1912,"11,447",5
Following the Color Line,,African-American Studies,,1904,"2,123",0
The Elements of Drawing,"
John Ruskin
",Art,0,1857,"12,790",0
Leonardo da Vinci ,"
Maurice W. Brockwell
",Art,42,,"2,339",0
Concerning the Spiritual in Art,"
Wassily Kandinsky
",Art,80,,"8,585",4.5
dot-font: Talking About Design,"
John D. Berry
",Art,106,2006,"2,610",0
"The Art of Needle-work, from the Earliest Ages, 3rd ed.","
active 1840-1883 Menzies Sutherland
",Art,311,1841,"5,917",0
The Beautiful Necessity,"
Claude Fayette Bragdon
",Art,71,1910,"2,611",5
Modern Painting ,"
George Moore
",Art,219,1893,"2,153",4
The Boy-Artist,"
F. M. S.
",Art,72,1872,"6,609",0
The Ten Books on Architecture,"
Vitruvius Pollio
",Art,373,1914,"2,315",0
Artists Past and Present,"
Elisabeth Luther Cary
",Art,119,1909,"5,385",0
Lives of the Most Eminent Painters Sculptors and Architects,"
Giorgio Vasari
",Art,244,1912,"2,334",0
Lectures on Landscape,"
John Ruskin
",Art,57,1871,"4,981",0
The Crown of Wild Olive,"
John Ruskin
",Art,732,,"2,120",0
"The American Architect and Building News, Vol. 27, Jan-Mar, 1890",,Art,131,1890,"2,331",0
Embroidery and Tapestry Weaving,"
Grace Christie
",Art,167,1912,"4,626",0
Capitals,"
Frederick W. Hamilton
",Art,62,1918,"2,244",0
Arnold Böcklin,"
Heinrich Alfred Schmid
",Art,0,1922,"2,658",0
Field's Chromatography,"
George Field
",Art,324,1869,"2,380",0
Illuminated Manuscripts,"
John William Bradley
",Art,243,,"2,541",0
Burlesques,"
Henry Mayo Bateman
",Art,31,1916,"9,623",0
A History of Art for Beginners and Students,"
Clara Erskine Clement Waters
",Art,240,1887,"6,552",0
Fort comme la mort,"
Guy de Maupassant
",Art,,,"2,587",0
The Psychology of Beauty,"
Ethel D. Puffer
",Art,157,1905,"6,425",0
Artists' Wives,"
Alphonse Daudet
",Art,84,1890,"7,583",0
Der Moses des Michelangelo,"
Sigmund Freud
",Art,,1914,"2,478",0
Artist and Public,"
Kenyon Cox
",Art,104,1914,"6,446",0
Amo,"
Henry van de Velde
",Art,0,1912,"2,496",0
Art-Lovers guide to the Exposition,"
Shelden Cheney
",Art,113,1915,"9,533",0
Leonardo da Vinci,"
Sigmund Freud
",Art,63,1916,"12,610",0
Zen Culture,"
Thomas Hoover
",Art,215,1977,"5,157",0
The Art of Interior Decoration,"
Emily Burbank
Grace Wood
",Art,167,1917,"23,185",0
The Cathedrals of Northern Spain,"
Charles Rudy
",Art,224,1905,"2,191",0
Dare to Dream,"
Malissa Melrose
",Art,51,2019,"1,175",0
Byzantine Churches in Constantinople,"
Ramsay Traquair
Alexander Van Millingen
Arthur Edward Henderson
Walter S. George
",Art,305,1912,"10,349",5
The Babylonian Legends of the Creation,"
Ernest Alfred Wallis Budge
",Art,116,,"16,558",4
Aboriginal American Weaving,"
Mary Lois Kissell
",Art,0,1910,"2,467",0
The Cathedrals and Churches of the Rhine,"
Milburg Francisco Mansfield
",Art,,1905,"2,231",0
An Abridgment of the Architecture of Vitruvius,"
Vitruvius Pollio
",Art,118,1692,"2,043",0
Ariadne Florentina,"
John Ruskin
",Art,156,1872,"5,655",0
Descripcion é historia del castillo de la aljafería,"
Mariano Nougués Secall
",Art,118,1846,"1,941",0
Rural Architecture,"
Lewis Falley Allen
",Art,218,1852,"4,656",0
"Aratra Pentelici, Seven Lectures on the Elements of Sculpture","
John Ruskin
",Art,,1870,"5,936",0
The Arts and Crafts Movement,"
Thomas James Cobden-Sanderson
",Art,28,1905,"5,816",0
"Florence historique, monumentale, artistique","
Marcel Niké
",Art,,,"1,929",0
The Golden Bowl,"
Henry James
",Art,448,1904,"5,401",0
Architecture and Democracy,"
Claude Fayette Bragdon
",Art,106,1918,"2,341",0
Arts and Crafts in the Middle Ages,"
Julia de Wolf Gibbs Addison
",Art,252,,"2,047",5
"Anecdotes of Painters, Engravers, Sculptors and Architects, and Curiosities of Art","
Shearjashub Spooner
",Art,331,1853,"13,800",3
Modern Painters Volume I,"
John Ruskin
",Art,479,1873,"2,356",0
Candide,"
Voltaire
",Banned Books,98,1759,"24,926",3
The Adventures of Sherlock Holmes,"
Arthur Conan Doyle
",Banned Books,236,1892,"558,521",4.4
The Call of the Wild,"
Jack London
",Banned Books,86,1903,"86,550",4.0833333333333
Candide,"
Voltaire
",Banned Books,110,1759,"35,736",5
The Arabian Nights Entertainments,,Banned Books,1201,1890,"43,760",5
The Arabian Nights,"
Andrew Lang
",Banned Books,277,1898,"228,489",3.9
Eve's Diary,"
Mark Twain
",Banned Books,36,,"43,002",4.6
The Adventures of Huckleberry Finn,"
Mark Twain
",Banned Books,304,1884,"43,094",5
Leaves of Grass,"
Walt Whitman
",Banned Books,695,1891,"39,702",5
An Inquiry into the Nature and Causes of the Wealth of Nations,"
Adam Smith
Germain Garnier
",Banned Books,955,1776,"57,408",5
The ''Genius'',"
Theodore Dreiser
",Banned Books,774,1915,"94,099",3.5
The Rights of Man,"
Thomas Paine
",Banned Books,217,1779,"32,992",5
The Age of Reason,"
D. J. Medley
",Banned Books,209,1796,"120,476",3.5714285714286
Canterbury Tales and Other Poems,"
Geoffrey Chaucer
",Banned Books,1164,14,"58,781",4.5
Silas Marner,"
George Eliot
",Banned Books,188,1861,"26,449",4.8571428571429
The Confessions,"
Jean-Jacques Rousseau
",Banned Books,670,1768,"29,379",0
The Analects of Confucius,"
Confucius
",Banned Books,73,,"90,591",2.6666666666667
The Decameron of Giovanni Boccaccio,"
Giovanni Boccaccio
",Banned Books,751,,"25,547",5
The Communist Manifesto,"
Karl Marx
Frederick Engels
",Banned Books,43,1888,"190,542",3.5454545454545
Ten Days That Shook the World,"
John Reed
",Banned Books,380,1919,"34,536",4
Adventures of Huckleberry Finn,"
Mark Twain
",Banned Books,305,1884,"179,629",4.9090909090909
Ulysses,"
James Joyce
",Banned Books,677,1922,"105,224",3.6
Moll Flanders,"
Daniel Defoe
",Banned Books,289,1722,"25,131",3.25
The Kingdom of God Is Within You,"
Leo Nikoleyevich Tolstoy
",Banned Books,663,1894,"31,286",5
Chopin: The Man and His Music,"
James Huneker
",Biography,203,1903,"5,036",0
My Own Story,"
Emmeline Pankhurst
",Biography,233,1914,"5,064",4
The Engineering Contributions of Wendel Bollman,"
Robert M. Vogel
",Biography,41,1966,"4,547",3
Plutarch's Lives,"
Plutarch
",Biography,9,,"13,217",0
The Education of Henry Adams,"
Henry Adams
",Biography,388,1918,"5,103",5
The Story of My Life,"
Helen Keller
",Biography,405,1903,"70,834",4.6666666666667
Der rote Kampfflieger,"
Freiherr von Richthofen Manfred
",Biography,145,1917,"4,754",3.5
Awful Disclosures ,"
Maria Monk
",Biography,268,1836,"14,516",3.0666666666667
Love for a Deaf Rebel,"
Derrick King
",Biography,196,2021,"2,992",0
My Life and Work,"
Henry Ford
",Biography,231,1922,"21,421",3.5
An Englishwoman's Love-Letters,"
Laurence Housman
",Biography,184,1900,"15,797",4
Adventures in Friendship,"
David Grayson
",Biography,140,1910,"14,076",4
''Shiloh'' as Seen by a Private Soldier,"
Warren Olney
",Biography,34,1889,"17,473",4.5
The Age of Invention,"
Holland Thompson
",Biography,141,1921,"22,577",4.5
The Underground Railroad,"
William Still
",Biography,1185,1872,"4,530",0
Intentions,"
Oscar Wilde
",Biography,165,1891,"4,402",3
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","
Olaudah Equiano
",Biography,193,1789,"4,427",4
Adventures of a Despatch Rider,"
W. H. L. Watson
",Biography,159,1915,"5,073",4
Acres of Diamonds,"
Russell H. Conwell
",Biography,105,1913,"61,408",3.7142857142857
Abraham Lincoln,"
George Haven Putnam
",Biography,185,1909,"20,082",5
From Silicon Valley to Swaziland,"
Rick & Wendy Walleigh
",Biography,308,2015,"1,570",5
Leonardo da Vinci,"
Sigmund Freud
",Biography,63,1916,"12,610",0
Chapters from My Autobiography,"
Mark Twain
",Biography,,1906,"4,392",0
Alexander the Great,"
Jacob Abbott
",Biography,167,1849,"23,283",4
'Three Score Years and Ten',"
Charlotte Ouisconsin Clark Van Cleve
",Biography,,1888,"4,700",0
Who Was Who: 5000 B. C. to Date,"
Irwin L. Gordon
",Biography,88,,"4,545",3
The Cruise of the Snark,"
Jack London
",Biography,189,1914,"4,457",5
Autobiography of a Yogi,"
Paramahansa Yogananda
",Biography,579,1946,"100,047",4.6153846153846
Walden,"
Henry David Thoreau
",Biography,244,1854,"74,924",4
The Story of a Soul,"
Saint Thérèse de Lisieux
",Biography,271,1912,"4,464",0
The Confessions,"
Jean-Jacques Rousseau
",Biography,670,1768,"29,379",0
The Autobiography of Ben Franklin,"
Benjamin Franklin
",Biography,192,1909,"20,794",3
Captain Cook,"
W. H. G. Kingston
",Biography,228,1871,"4,984",3.5
Germinal,"
Émile Zola
",Biography,459,1885,"13,589",4.3333333333333
Cleopatra,"
Jacob Abbott
",Biography,149,1851,"4,912",0
An Iron Will,"
Abner Bayley
Orison Swett Marden
",Biography,60,1901,"15,469",4.5
Hymns and Hymnwriters of Denmark,"
Jens Christian Aaberg
",Biography,157,1945,"36,526",0
The Life of Abraham Lincoln,"
Henry Ketcham
",Biography,241,1901,"4,469",5
The Age of Big Business,"
Burton Jesse Hendrick
",Biography,96,1919,"23,020",4
Six Years in the Prisons of England,,Biography,167,1869,"4,829",0
"The Best of the World's Classics, Restricted to Prose, Vol. VII",,Biography,249,1909,"4,543",4
Diary Written in the Provincial Lunatic Asylum,"
Mary Huestis Pengilly
",Biography,26,1885,"4,767",0
The Autobiography of Charles Darwin,"
Charles Darwin
",Biography,58,1887,"16,749",0
Autobiography of Benjamin Franklin,"
Benjamin Franklin
",Biography,176,1916,"51,726",4.6666666666667
Abraham Lincoln: A History -- Volume 1,"
John G. Nicolay
",Biography,362,1890,"18,213",0
Abraham Lincoln,"
Thomas Mears Eddy
",Biography,29,1865,"23,217",5
A. W. Kinglake,"
William Tuckwell
",Biography,,1902,"4,720",0
The Naked Island,"
Russell Braddon
",Biography,564,1953,"5,042",5
A Burlesque Autobiography,"
Mark Twain
",Biography,25,1871,"4,810",0
Adrift on an Ice-Pan,"
Sir Grenfell Wilfred Thomason
",Biography,37,1909,"4,864",4
How to Invest Money,"
George Garr Henry
",Business,66,1908,"20,199",3
Increasing Efficiency In Business,"
Walter Dill Scott
",Business,495,,"10,300",0
The Early Bird,"
George Randolph Chester
",Business,136,1910,"7,054",3.5
The Book of Business Etiquette,"
Nella Braddy Henney
",Business,164,1922,"34,825",4
One Thousand Secrets of Wise and Rich Men Revealed,"
C. A. Bogardus
",Business,224,1898,"20,408",0
Business Hints for Men and Women,"
Alfred Rochefort Calhoun
",Business,151,,"19,757",0
Creating Capital,"
Frederick L. Lipman
",Business,32,1918,"12,940",5
How to Get on in the World,"
Alfred Rochefort Calhoun
",Business,173,1895,"9,561",0
Get-Rich-Quick Wallingford,"
George Randolph Chester
",Business,244,1907,"9,858",5
Making Money,"
Owen Johnson
",Business,256,1915,"10,395",0
Acres of Diamonds,"
Russell H. Conwell
",Business,105,1913,"61,408",3.7142857142857
Business Correspondence,"
Anonymous
",Business,256,1911,"20,358",5
How to Write Letters (Formerly The Book of Letters),"
Mary Owens Crowther
",Business,287,1922,"15,062",3
About sugar buying for Jobbers,"
B. W. Dyer
",Business,49,1921,"7,147",0
The Trained Memory,"
Warren Hilton
",Business,53,1920,"14,119",4
The Business Career in its Public Relations,"
Albert Shaw
",Business,36,1904,"9,900",5
The Banker and the Bear,"
Henry Kitchell Webster
",Business,186,1900,"9,310",0
Captains of Industry,"
James Parton
",Business,255,1890,"10,260",5
H. R.,"
Edwin Lefevre
",Business,283,1915,"24,322",0
The Age of Big Business,"
Burton Jesse Hendrick
",Business,96,1919,"23,020",4
Applied Psychology: Driving Power of Thought,"
Warren Hilton
",Business,50,1914,"48,403",5
Etiquette,"
Emily Post
",Business,656,1922,"67,251",5
Applied Psychology: Making Your Own World,"
Warren Hilton
",Business,36,1914,"43,674",3
The Size of Your Dreams,"
Dave Mason
",Business,187,2018,"6,066",5
Money,"
John P. Jones
",Business,181,1890,"7,698",0
White Fang,"
Jack London
",Canadian Literature,176,1906,"41,412",5
A Mad Marriage,"
May Agnes Fleming
",Canadian Literature,870,1875,"23,122",3
The Wilderness Mine,"
Harold Bindloss
",Canadian Literature,503,1920,"4,677",0
Laurier: A Study in Canadian Politics,"
John Wesley Dafoe
",Canadian Literature,71,,"2,313",0
Nonsense Novels,"
Stephen Leacock
",Canadian Literature,114,1920,"4,178",5
The Yukon Trail,"
William MacLeod Raine
",Canadian Literature,220,1917,"2,616",0
Shimmer,"
Claudette Melanson
",Canadian Literature,10,2014,"1,691",5
An Algonquin Maiden,"
A. Ethelwyn Wetherald
G. Mercer Adam
",Canadian Literature,,1886,"2,642",0
Arcadian Adventures With the Idle Rich,"
Stephen Leacock
",Canadian Literature,182,1914,"3,341",5
A Strange Manuscript Found in a Copper Cylinder,"
James De Mille
",Canadian Literature,219,1888,"3,244",4
Roughing it in the Bush,"
Susanna Moodie
",Canadian Literature,455,1854,"3,110",0
Thirty Indian Legends,"
Margaret Bemister
",Canadian Literature,109,1917,"2,326",0
The Backwoodsmen,"
Sir Roberts Charles G. D.
",Canadian Literature,,1906,"3,056",0
A Canadian Bankclerk,"
J. P. Buschlen
",Canadian Literature,266,1913,"3,478",0
Sunshine Sketches of a Little Town,"
Stephen Leacock
",Canadian Literature,144,1912,"3,401",4.25
Wild Animals I Have Known,"
Ernest Thompson Seton
",Canadian Literature,118,1898,"2,848",0
Blake's Burden,"
Harold Bindloss
",Canadian Literature,258,1914,"3,755",0
Anne of Green Gables,"
Lucy Maud Montgomery
",Canadian Literature,254,1908,"72,578",4.2083333333333
Behind the Beyond,"
Stephen Leacock
",Canadian Literature,,1913,"4,716",5
Wacousta,"
John Richardson
",Canadian Literature,415,1851,"2,271",0
The Backwoods of Canada,"
Catherine Parr Traill
",Canadian Literature,242,1836,"4,097",1
The 'Patriotes' of '37,"
Alfred Duclos DeCelles
",Canadian Literature,,1916,"4,034",0
"''Crumps'', The Plain Story of a Canadian Who Went","
Louis Keene
",Canadian Literature,101,1917,"6,931",0
The Buccaneer Farmer,"
Harold Bindloss
",Canadian Literature,0,1914,"2,852",0
Further Foolishness,"
Stephen Leacock
",Canadian Literature,157,1916,"3,148",0
Don Quijote,"
Miguel de Cervantes Saavedra
",Classic,918,1615,"66,846",4.0588235294118
Plutarch's Lives,"
Plutarch
",Classic,9,,"13,217",0
The Antiquities of the Jews,"
Flavius Josephus
",Classic,1152,93,"24,185",0
Beowulf,,Classic,104,1100,"47,086",4.5
The Golden Sayings of Epictetus,"
Epictetus
",Classic,233,,"11,157",5
"The Best of the World's Classics, Restricted to prose",,Classic,193,1909,"11,292",5
Tess of the d'Urbervilles,"
Thomas Hardy
",Classic,432,1891,"34,285",4.1428571428571
Don Quixote,"
Miguel de Cervantes Saavedra
",Classic,1026,1615,"100,886",3.9375
The Republic,"
Plato
",Classic,404,,"99,853",4.3333333333333
"The Junior Classics, vol 1",,Classic,404,,"9,632",0
The Iliad of Homer,"
Homer
",Classic,437,,"26,373",0
The Chinese Classics,"
James Legge
",Classic,171,,"30,003",4
Great Expectations,"
Charles Dickens
",Classic,446,1861,"93,499",3.7037037037037
The Wars of The Jews,"
Flavius Josephus
",Classic,533,75,"11,310",5
An Account of Egypt,"
Herodotus
",Classic,80,,"13,975",0
The Poetics,"
Aristotle
",Classic,116,1920,"21,357",2.5
Les Misérables,"
Victor Hugo
",Classic,1609,1862,"182,181",4.6153846153846
The Decameron of Giovanni Boccaccio,"
Giovanni Boccaccio
",Classic,751,,"25,547",5
Aesop's Fables,"
Aesop
",Classic,364,,"57,833",5
"The Odyssey of Homer, vol 5","
Alexander Pope
",Classic,485,,"10,963",0
Ethics,"
Aristotle
",Classic,303,,"25,840",4
The Aeneid of Virgil,"
Virgil
",Classic,225,1885,"9,492",0
Aesop's Fables,"
Aesop
",Classic,48,,"20,596",0
Politics: A Treatise on Government,"
Aristotle
",Classic,285,1919,"10,748",3
Mostly Dark,"
Miranda Kate
",Computers,84,2018,"2,537",0
The Cathedral and the Bazaar,"
Eric S. Raymond
",Computers,59,1996,"20,212",0
The New Hacker's Dictionary,"
Eric S. Raymond
",Computers,1569,1997,"24,678",4.4
The Jargon File,"
Eric S. Raymond
",Computers,1569,2000,"17,116",0
ADSL Bandwidth Management HOWTO,"
Dan Singletary
",Computers,59,2003,"13,281",0
Big Dummy's Guide To The Internet,"
Electronic Frontier Foundation
",Computers,222,1993,"27,823",3
E-books and e-publishing,"
Samuel Vaknin
",Computers,11,2002,"11,111",3
A Brief History of the Internet,"
Maxwell Fuller
Michael Hart
",Computers,72,1995,"39,572",3.4
ACPI: Advanced Configuration and Power Interface,"
Emma Jane Hogbin
",Computers,47,2004,"10,821",0
Hurst,"
Robin Crumby
",Computers,396,2016,"3,085",0
The 3 Button Serial Mouse mini-HOWTO,"
Geoff Short
",Computers,54,1998,"10,228",0
The Coming Technological Singularity,"
Vernor Vinge
",Computers,0,1993,"10,963",4.5
Ice Crown,"
Kay L. Moody
",Computers,142,2019,"3,001",0
The Cyberpunk Fakebook,"
St. Jude and R. U. Sirius
",Computers,26,,"9,276",3
Debian GNU/Linux: Guide to Installation and Usage,"
John Goerzen and Ossama Othman
",Computers,326,1998,"11,406",0
Rev's Odyssey,"
R. R. Kaufman
",Computers,349,2021,859,0
3D Graphics Modelling and Rendering mini-HOWTO,"
Dane Jarvis
",Computers,36,2001,"26,391",0
Becoming Bader,"
T.K. Eldridge
",Computers,65,2022,"2,919",0
802.1X Port-Based Authentication HOWTO,"
Lars Strand
",Computers,57,2004,"10,637",0
Fireplay,"
Steve P. Vincent
",Computers,51,2017,"1,525",0
The Hacker's Dictionary,,Computers,493,1992,"37,482",3.7142857142857
AL Clark,"
Jonathan G. Meyer
",Computers,284,2014,"4,007",4.5
Approaching Zero,"
Paul Mungo
",Computers,396,1993,"29,681",0
Unforgettable,"
Linda Barrett
",Computers,204,2021,"2,169",0
Free Culture,"
Lawrence Lessig
",Computers,306,2004,"10,814",0
The Reluctant Coroner,"
Paul Austin Ardoin
",Computers,346,2018,"3,712",0
Chicken Culprit,"
Vikki Walton
",Computers,434,2018,"1,838",0
Underground,"
Suelette Dreyfus
",Computers,449,1997,"11,776",5
"Hackers, Heroes of the Computer Revolution","
Steven Levy
",Computers,47,1984,"24,025",4
When We Let Go,"
Delancey Stewart
",Computers,280,2018,"4,423",0
Chosen,"
Christine Pope
",Computers,382,2015,"2,492",0
Decline of Science in England,"
Charles Babbage
",Computers,304,1830,"13,357",0
All Complex Ecosystems Have Parasites,"
Cory Doctorow
",Computers,9,2005,"11,549",5
On the Economy of Machinery and Manufactures,"
Charles Babbage
",Computers,,1832,"9,063",0
Man and Superman,"
George Bernard Shaw
",Computers,176,1903,"14,298",0
Hacker Crackdown,"
Bruce Sterling
",Computers,303,1994,"35,109",4.6666666666667
The Allinson Vegetarian Cookery Book,"
Thomas R. Allinson
",Cooking,309,1915,"16,076",5
Culinary Herbs,"
M. G. Kains
",Cooking,100,1912,"9,973",0
365 Luncheon Dishes,"
Anonymous
",Cooking,104,1902,"17,563",3
American Cookery,"
Amelia Simmons
",Cooking,55,1796,"13,671",0
"Salads, Sandwiches and Chafing-Dish Dainties","
Janet McKenzie Hill
",Cooking,261,1899,"11,818",5
Chinese-Japanese Cook Book,"
Onoto Watanna
",Cooking,120,1914,"11,686",3
The $100 Prize Essay on the Cultivation of the Potato; and How to Cook the Potato,"
D. A. Compton
",Cooking,65,1870,"13,083",0
Chocolate and Cocoa Recipes,"
Maria Parloa
Janet McKenzie Hill
",Cooking,100,,"12,864",0
One Thousand Secrets of Wise and Rich Men Revealed,"
C. A. Bogardus
",Cooking,224,1898,"20,408",0
